Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2017-18,Paid Claims (Rs. in Crore) - 2017-18
1,Andaman and Nicobar Island,National,0.03,0
2,Andhra Pradesh,AIC,214.18,74.64
3,Andhra Pradesh,HDFC Ergo,723.9,296.57
4,Andhra Pradesh,ICICI Lombard,205.08,163.95
5,Andhra Pradesh,IFFCO Tokio,88.98,107.31
6,Andhra Pradesh,National,39.93,97.57
7,Assam,AIC,2.02,0.33
8,Assam,HDFC Ergo,1.72,0.1
9,Assam,ICICI Lombard,5.46,0.26
10,Assam,Oriental,0.52,0.24
11,Assam,Royal Sundaram,2.19,0.3
12,Bihar,AIC,410.64,263.77
13,Bihar,Bharti AXA,295.3,70.74
14,Bihar,Chola MS,151.24,61.69
15,Bihar,United India,171.65,5.32
16,Chhattisgarh,AIC,26.1,37.97
17,Chhattisgarh,Bajaj Allianz,65.42,48.74
18,Chhattisgarh,IFFCO Tokio,202.89,1093.54
19,Chhattisgarh,Reliance General,67.46,211.13
20,Goa,HDFC Ergo,0,0
21,Goa,SBI General,0.05,0
22,Gujarat,AIC,585.25,503.06
23,Gujarat,IFFCO Tokio,380.21,27.59
24,Gujarat,New India,1533.33,354.26
25,Gujarat,SBI General,515.48,190.92
26,Haryana,Bajaj Allianz,326.51,366.16
27,Haryana,ICICI Lombard,126.25,532.77
28,Himachal Pradesh,AIC,20.73,25.67
29,Himachal Pradesh,HDFC Ergo,11.22,23.28
30,Himachal Pradesh,IFFCO Tokio,42.36,12.98
31,Himachal Pradesh,Reliance General,1.83,1.03
32,Himachal Pradesh,SBI General,1.36,1.76
33,Jammu and Kashmir,ICICI Lombard,5.38,3.32
34,Jammu and Kashmir,Oriental,9.78,3.85
35,Jammu and Kashmir,Reliance General,25.37,2.65
36,Jharkhand,IFFCO Tokio,119.85,20.22
37,Jharkhand,Oriental,92.07,26.96
38,Karnataka,AIC,298.03,303.32
39,Karnataka,Bharti AXA,81.88,36.08
40,Karnataka,HDFC Ergo,0.63,0.17
41,Karnataka,IFFCO Tokio,2.01,1.93
42,Karnataka,Oriental,15.13,7.98
43,Karnataka,Reliance General,1.95,0.35
44,Karnataka,SBI General,168.31,208.6
45,Karnataka,Tata AIG,0.19,0.01
46,Karnataka,United India,155.31,125.06
47,Karnataka,Universal Sompo,1075.64,173.29
48,Kerala,AIC,25.89,10.96
49,Madhya Pradesh,AIC,2283.83,3278.96
50,Madhya Pradesh,Chola MS,2.03,0.77
51,Madhya Pradesh,HDFC Ergo,624.58,679.97
52,Madhya Pradesh,ICICI Lombard,1701.75,1872.83
53,Madhya Pradesh,IFFCO Tokio,43.56,41.34
54,Maharashtra,AIC,1196.46,1265.87
55,Maharashtra,Bajaj Allianz,72.76,32.79
56,Maharashtra,HDFC Ergo,373.19,267.23
57,Maharashtra,IFFCO Tokio,59.88,89.2
58,Maharashtra,National,982.42,542.37
59,Maharashtra,Oriental,311.25,408.61
60,Maharashtra,Reliance General,601.57,415.32
61,Maharashtra,United India,538.74,294.3
62,Manipur,National,1.94,0.67
63,Meghalaya,ICICI Lombard,0.69,0.02
64,Odisha,AIC,166.78,157.39
65,Odisha,Chola MS,168.29,296.79
66,Odisha,HDFC Ergo,1.67,2.91
67,Odisha,National,217.07,855.5
68,Odisha,Tata AIG,263.83,469.88
69,Odisha,United India,2.79,37.6
70,Rajasthan,AIC,950.07,956.49
71,Rajasthan,Bajaj Allianz,1159.82,743.27
72,Rajasthan,New India,95.06,135.81
73,Rajasthan,SBI General,108.85,91.81
74,Rajasthan,United India,390.62,315.2
75,Sikkim,IFFCO Tokio,0.01,0.04
76,Sikkim,SBI General,0.05,0
77,Tamil Nadu,AIC,512.36,646.51
78,Tamil Nadu,ICICI Lombard,162.54,560.61
79,Tamil Nadu,New India,602.8,878.98
80,Telangana,AIC,79.74,78.18
81,Telangana,Bajaj Allianz,25.5,5.36
82,Telangana,Chola MS,68.64,100.21
83,Telangana,ICICI Lombard,18.63,12.57
84,Telangana,National,264.53,267.4
85,Telangana,United India,83.3,104.35
86,Tripura,Royal Sundaram,0.74,1
87,Uttar Pradesh,Bajaj Allianz,224.96,58.5
88,Uttar Pradesh,New India,206.48,92.02
89,Uttar Pradesh,Reliance General,243.5,34.89
90,Uttar Pradesh,SBI General,192.65,25.84
91,Uttar Pradesh,Tata AIG,171.6,96.77
92,Uttar Pradesh,Universal Sompo,282.87,72.87
93,Uttarakhand,AIC,66.59,38.04
94,Uttarakhand,Oriental,2.49,1.41
95,West Bengal,AIC,253.33,168.93
96,West Bengal,National,34.11,44.26
97,West Bengal,Reliance General,354.73,47.92
Total,Total,Total,24468.36,22087.97
