Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2018-19,Paid Claims (Rs. in Crore) - 2018-19
1,Andaman and Nicobar Island,National,0.24,0.09
2,Andhra Pradesh,AIC,581.84,648.21
3,Andhra Pradesh,Bajaj Allianz,350.57,602.46
4,Andhra Pradesh,HDFC Ergo,139,181.01
5,Andhra Pradesh,National,85.4,167.37
6,Andhra Pradesh,Oriental,145.45,86.65
7,Andhra Pradesh,SBI General,135.73,204.67
8,Assam,AIC,0.46,0.18
9,Assam,Bajaj Allianz,8.81,2.52
10,Assam,HDFC Ergo,0.24,0.02
11,Assam,National,0.94,0.07
12,Assam,Oriental,2.79,0
13,Chhattisgarh,AIC,109.4,150.41
14,Chhattisgarh,Bajaj Allianz,231.57,236.8
15,Chhattisgarh,HDFC Ergo,148.13,217.29
16,Chhattisgarh,United India,399.86,482.79
17,Goa,HDFC Ergo,0,0.01
18,Goa,SBI General,0.03,0.09
19,Gujarat,AIC,672.54,687.75
20,Gujarat,Bajaj Allianz,28.28,2.18
21,Gujarat,Bharti AXA,366.82,281.74
22,Gujarat,Reliance General,1208.92,1030.78
23,Gujarat,United India,18.64,33.42
24,Gujarat,Universal Sompo,846.2,742.01
25,Haryana,Oriental,270.27,432.16
26,Haryana,SBI General,351.05,341.56
27,Haryana,Universal Sompo,219.86,174.59
28,Himachal Pradesh,AIC,70.99,49.26
29,Himachal Pradesh,SBI General,8.19,5.75
30,Jammu and Kashmir,ICICI Lombard,9.91,8.31
31,Jammu and Kashmir,Oriental,15.55,7.63
32,Jammu and Kashmir,Reliance General,51.45,7.7
33,Jharkhand,AIC,95.06,316.96
34,Jharkhand,Bajaj Allianz,97.94,51.99
35,Jharkhand,Bharti AXA,79.23,0
36,Jharkhand,Oriental,125.17,320.76
37,Karnataka,AIC,462.69,729.87
38,Karnataka,Future Generali,132.94,54.22
39,Karnataka,HDFC Ergo,38.96,36.77
40,Karnataka,New India,288.6,587.04
41,Karnataka,Reliance General,148.69,144.67
42,Karnataka,SBI General,158.42,216.09
43,Karnataka,United India,427.9,1081.23
44,Karnataka,Universal Sompo,147.79,136.8
45,Kerala,AIC,35.92,26.77
46,Madhya Pradesh,AIC,2844.01,1239.4
47,Madhya Pradesh,Chola MS,9.39,8.31
48,Madhya Pradesh,HDFC Ergo,697.19,372.62
49,Madhya Pradesh,ICICI Lombard,2014.11,2076.49
50,Madhya Pradesh,IFFCO Tokio,49.86,85.01
51,Maharashtra,AIC,1066.76,1188.67
52,Maharashtra,Bajaj Allianz,561.1,882.79
53,Maharashtra,Bharti AXA,88.92,51.14
54,Maharashtra,Future Generali,250.42,256.92
55,Maharashtra,ICICI Lombard,720.97,214.05
56,Maharashtra,IFFCO Tokio,1534.82,602.72
57,Maharashtra,New India,134.96,178
58,Maharashtra,Oriental,1192.71,2197.99
59,Maharashtra,SBI General,235.62,224.18
60,Maharashtra,Tata AIG,332.51,347.68
61,Manipur,National,0.21,0
62,Meghalaya,AIC,0.14,0.22
63,Odisha,Chola MS,171.82,240.59
64,Odisha,Oriental,323.18,493.08
65,Odisha,Reliance General,218.87,167.81
66,Odisha,Royal Sundaram,408.25,269.02
67,Puducherry,National,2.69,0.45
68,Rajasthan,AIC,503.83,645.65
69,Rajasthan,Bajaj Allianz,120.83,168.57
70,Rajasthan,Future Generali,161.99,37.1
71,Rajasthan,HDFC Ergo,716.08,541.84
72,Rajasthan,IFFCO Tokio,361.84,592.05
73,Rajasthan,SBI General,668.61,599.68
74,Rajasthan,Tata AIG,1088.41,854.53
75,Sikkim,SBI General,0.03,0
76,Tamil Nadu,AIC,664.81,973.03
77,Tamil Nadu,Chola MS,189.38,365.83
78,Tamil Nadu,New India,781.57,1325.04
79,Telangana,AIC,173.52,240
80,Telangana,Bajaj Allianz,19.2,36.8
81,Telangana,National,314.53,283.65
82,Telangana,Tata AIG,38.27,10.08
83,Tripura,AIC,0.09,0.02
84,Uttar Pradesh,Bajaj Allianz,291.99,18.22
85,Uttar Pradesh,New India,291.45,163.49
86,Uttar Pradesh,Reliance General,227.51,26.46
87,Uttar Pradesh,SBI General,182.46,23.87
88,Uttar Pradesh,Tata AIG,200.68,143.87
89,Uttar Pradesh,Universal Sompo,302.3,93.25
90,Uttarakhand,AIC,71.48,68.97
91,Uttarakhand,Bajaj Allianz,1.5,0.08
92,Uttarakhand,ICICI Lombard,2.09,3.33
93,West Bengal,AIC,37.11,22.22
94,West Bengal,Chola MS,112.38,10.81
95,West Bengal,HDFC Ergo,79.83,42.92
96,West Bengal,National,271.99,287.15
97,West Bengal,Oriental,26.4,25.16
98,West Bengal,SBI General,0.38,0.33
99,West Bengal,United India,119.55,141.36
100,West Bengal,Universal Sompo,88.76,5.78
Total,Total,Total,29687.75,29336.91
