Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2019-20,Paid Claims (Rs. in Crore) - 2019-20
1,Andaman and Nicobar Island,National,0.03,0
2,Andhra Pradesh,IFFCO Tokio,484.96,366.48
3,Andhra Pradesh,Oriental,272.93,389.28
4,Andhra Pradesh,SBI General,716.84,497.56
5,Assam,AIC,120.14,72.71
6,Assam,HDFC Ergo,37.04,16.35
7,Chhattisgarh,AIC,1053.9,1167.49
8,Chhattisgarh,Bajaj Allianz,42.43,29.01
9,Chhattisgarh,HDFC Ergo,150.41,107.04
10,Goa,Future Generali,0.04,0.01
11,Gujarat,AIC,796.47,9.79
12,Gujarat,Bajaj Allianz,27.51,0.01
13,Gujarat,Bharti AXA,445.48,5.15
14,Gujarat,Reliance General,1364.68,56.57
15,Gujarat,United India,23.66,0
16,Gujarat,Universal Sompo,957.19,40.17
17,Haryana,AIC,580.83,421.53
18,Haryana,Bajaj Allianz,276.8,137.63
19,Haryana,SBI General,417.93,378.7
20,Himachal Pradesh,AIC,76.2,62.81
21,Himachal Pradesh,New India,5.48,1.94
22,Himachal Pradesh,SBI General,1.49,2.75
23,Jharkhand,HDFC Ergo,113.59,0
24,Jharkhand,Royal Sundaram,242.33,0
25,Karnataka,AIC,499.58,519.65
26,Karnataka,Bajaj Allianz,237.21,28.37
27,Karnataka,Bharti AXA,315.91,71.1
28,Karnataka,Future Generali,521.47,211.64
29,Karnataka,HDFC Ergo,195.72,41.28
30,Karnataka,Oriental,362.83,547.7
31,Karnataka,Universal Sompo,124.63,80.04
32,Kerala,AIC,72.5,88.92
33,Madhya Pradesh,AIC,1229.57,2035.84
34,Madhya Pradesh,Bajaj Allianz,546.94,710.7
35,Madhya Pradesh,HDFC Ergo,43.66,46.52
36,Madhya Pradesh,IFFCO Tokio,1116.73,1111.57
37,Madhya Pradesh,New India,340.47,1059.92
38,Madhya Pradesh,Oriental,167.73,63.22
39,Madhya Pradesh,Reliance General,373.13,1020.97
40,Madhya Pradesh,United India,112.86,146.04
41,Maharashtra,AIC,5283.29,6204.18
42,Maharashtra,Bajaj Allianz,731.14,481.52
43,Maharashtra,Bharti AXA,56.58,1.08
44,Maharashtra,Future Generali,78.43,0.16
45,Maharashtra,HDFC Ergo,48.88,46.62
46,Maharashtra,Reliance General,135.14,5.74
47,Maharashtra,SBI General,21.06,19.03
48,Manipur,National,1.26,1.14
49,Meghalaya,AIC,0.09,0.18
50,Odisha,AIC,428.49,164.94
51,Odisha,HDFC Ergo,481.54,119.99
52,Odisha,Oriental,413.32,644.09
53,Odisha,Reliance General,244.24,10.83
54,Odisha,Royal Sundaram,566.89,218.11
55,Puducherry,National,4.2,7.13
56,Rajasthan,AIC,2247.42,2585.05
57,Rajasthan,Bajaj Allianz,299.15,241.71
58,Rajasthan,Future Generali,381.71,210.99
59,Rajasthan,HDFC Ergo,1392.8,896.81
60,Rajasthan,SBI General,815.04,1058.49
61,Sikkim,IFFCO Tokio,0,0
62,Tamil Nadu,AIC,1512.23,799.45
63,Tamil Nadu,Oriental,447.36,414.55
64,Telangana,AIC,526.84,230.62
65,Telangana,IFFCO Tokio,353.92,275.48
66,Tripura,AIC,0.26,0.1
67,Tripura,HDFC Ergo,0.81,0.71
68,Uttar Pradesh,Bajaj Allianz,109.75,26.53
69,Uttar Pradesh,HDFC Ergo,46.51,45.76
70,Uttar Pradesh,IFFCO Tokio,117.9,22.99
71,Uttar Pradesh,National,243.27,243.17
72,Uttar Pradesh,New India,106.47,183.52
73,Uttar Pradesh,Oriental,204.11,336.73
74,Uttar Pradesh,United India,67.21,31.43
75,Uttar Pradesh,Universal Sompo,411.73,194.43
76,Uttarakhand,AIC,112.72,100.45
77,Uttarakhand,Oriental,0.99,2.79
Total,Total,Total,32362.06,27372.97
