Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2020-21,Paid Claims (Rs. in Crore) - 2020-21
1,Andaman and Nicobar Island,National,0.16,0
2,Assam,AIC,229.54,137.97
3,Assam,HDFC Ergo,67.86,8.06
4,Chhattisgarh,AIC,1114.24,797.96
5,Chhattisgarh,Bajaj Allianz,340.81,87.97
6,Goa,Future Generali,0.01,0
7,Haryana,AIC,625.62,802.09
8,Haryana,Bajaj Allianz,251.23,140.22
9,Haryana,Reliance General,432.6,307.63
10,Himachal Pradesh,AIC,37.28,30.36
11,Himachal Pradesh,HDFC Ergo,44.86,30.3
12,Himachal Pradesh,IFFCO Tokio,18.75,11.43
13,Himachal Pradesh,SBI General,1.4,1.28
14,Karnataka,AIC,483.92,288.22
15,Karnataka,Bajaj Allianz,306.91,183.72
16,Karnataka,Bharti AXA,157.93,76.74
17,Karnataka,Future Generali,323.34,59.88
18,Karnataka,HDFC Ergo,68.43,0
19,Karnataka,SBI General,368.22,300.72
20,Karnataka,Universal Sompo,365.03,114.83
21,Kerala,AIC,83.22,124.49
22,Madhya Pradesh,AIC,7208.77,7780.53
23,Maharashtra,AIC,2079.66,249.53
24,Maharashtra,Bajaj Allianz,867.33,292.12
25,Maharashtra,Bharti AXA,632.99,85.29
26,Maharashtra,HDFC Ergo,894.21,291.85
27,Maharashtra,IFFCO Tokio,980.49,217.66
28,Maharashtra,Reliance General,1040.54,183.53
29,Manipur,National,0,0
30,Meghalaya,AIC,0.04,0.07
31,Odisha,AIC,605.09,207.91
32,Odisha,HDFC Ergo,482.55,280.7
33,Odisha,Reliance General,350.46,83.16
34,Puducherry,National,4.43,13.39
35,Rajasthan,AIC,1401.31,1345.77
36,Rajasthan,Bajaj Allianz,742.19,251.89
37,Rajasthan,Future Generali,708.91,268.61
38,Rajasthan,HDFC Ergo,548.02,344.57
39,Rajasthan,Reliance General,848.78,226.38
40,Rajasthan,SBI General,1513.77,1426.27
41,Rajasthan,Universal Sompo,584.49,446.36
42,Sikkim,IFFCO Tokio,0.01,0.02
43,Tamil Nadu,AIC,1649.96,1119.24
44,Tamil Nadu,IFFCO Tokio,1385.7,1447.82
45,Tamil Nadu,Oriental,54.03,67.61
46,Tripura,AIC,1.8,0.43
47,Tripura,HDFC Ergo,5.25,2.17
48,Uttar Pradesh,AIC,786.79,339.72
49,Uttar Pradesh,HDFC Ergo,310.29,108.4
50,Uttar Pradesh,IFFCO Tokio,101.92,3.59
51,Uttar Pradesh,Universal Sompo,414.33,47.71
52,Uttarakhand,AIC,80.45,60.19
53,Uttarakhand,SBI General,84.03,74.68
Total,Total,Total,31689.95,20771.05
