Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2021-22,Paid Claims (Rs. in Crore) - 2021-22
1,Andaman and Nicobar Island,National,0.23,0
2,Assam,AIC,147.71,0
3,Assam,Future Generali,9.33,5.75
4,Assam,HDFC Ergo,27.23,0
5,Assam,Reliance General,7.09,0.31
6,Assam,SBI General,10.22,0.62
7,Chhattisgarh,AIC,1109.92,1279.08
8,Chhattisgarh,Bajaj Allianz,348.03,150.66
9,Goa,Future Generali,0.01,0
10,Haryana,AIC,618.51,953.06
11,Haryana,Bajaj Allianz,204.04,280.11
12,Haryana,Reliance General,386.21,448.2
13,Himachal Pradesh,AIC,30.27,10.94
14,Himachal Pradesh,HDFC Ergo,45.96,0
15,Himachal Pradesh,IFFCO Tokio,17.74,0
16,Himachal Pradesh,SBI General,2.87,1.83
17,Jammu and Kashmir,IFFCO Tokio,20.53,42.95
18,Jammu and Kashmir,Reliance General,19.51,12.92
19,Karnataka,AIC,470.93,310.92
20,Karnataka,Bajaj Allianz,284.78,143.4
21,Karnataka,Bharti AXA,200.35,92
22,Karnataka,Future Generali,287.15,144.02
23,Karnataka,HDFC Ergo,77.29,0
24,Karnataka,SBI General,605.9,550.77
25,Karnataka,Universal Sompo,340.25,220.34
26,Kerala,AIC,101.81,39
27,Madhya Pradesh,AIC,5819.85,2396.65
28,Madhya Pradesh,HDFC Ergo,456.7,0
29,Madhya Pradesh,Reliance General,470.12,286.06
30,Maharashtra,AIC,1947.62,1354.44
31,Maharashtra,Bajaj Allianz,627.5,401.47
32,Maharashtra,Bharti AXA,479.22,331.04
33,Maharashtra,HDFC Ergo,757.64,615.15
34,Maharashtra,IFFCO Tokio,960.97,737.81
35,Maharashtra,Reliance General,1130.15,934.08
36,Manipur,Bajaj Allianz,1.58,1.48
37,Odisha,AIC,558.79,457.97
38,Odisha,HDFC Ergo,455.46,332.93
39,Odisha,Reliance General,270.52,236.63
40,Puducherry,National,6.83,0
41,Rajasthan,AIC,1436.18,184.71
42,Rajasthan,Bajaj Allianz,642.09,759.32
43,Rajasthan,Future Generali,625.68,567.76
44,Rajasthan,HDFC Ergo,551.02,132.17
45,Rajasthan,Reliance General,771.31,520.01
46,Rajasthan,SBI General,1500.3,789.92
47,Rajasthan,Universal Sompo,400.7,400.02
48,Sikkim,National,0.09,0.5
49,Tamil Nadu,AIC,2441.4,596.15
50,Tamil Nadu,IFFCO Tokio,572.33,170.27
51,Tripura,HDFC Ergo,10.94,0
52,Uttar Pradesh,AIC,732.08,580.79
53,Uttar Pradesh,HDFC Ergo,297.33,263.33
54,Uttar Pradesh,IFFCO Tokio,100.17,33.95
55,Uttarakhand,AIC,106.84,85.68
56,Uttarakhand,SBI General,93.18,24.24
Total,Total,Total,29598.43,17881.43
