Sl. No.,State/UT,Company,Gross Premium (Rs. in Crore) - 2022-23,Paid Claims (Rs. in Crore) - 2022-23
1,Andaman and Nicobar Island,National,0.03,0
2,Andhra Pradesh,AIC,743.94,0
3,Andhra Pradesh,HDFC Ergo,254.42,0
4,Andhra Pradesh,IFFCO Tokio,212.24,0
5,Andhra Pradesh,Reliance General,552.09,0
6,Andhra Pradesh,SBI General,416.76,0
7,Assam,AIC,76.46,0
8,Assam,Future Generali,10.02,0
9,Assam,HDFC Ergo,46.06,0
10,Assam,Reliance General,7.72,0.03
11,Assam,SBI General,17.66,0
12,Chhattisgarh,AIC,1233.57,201.08
13,Chhattisgarh,Bajaj Allianz,420.87,44.79
14,Goa,Future Generali,0.01,0
15,Haryana,AIC,703.84,7.46
16,Haryana,Bajaj Allianz,209.91,243.4
17,Haryana,Reliance General,363.24,378.45
18,Himachal Pradesh,AIC,33.36,1.49
19,Himachal Pradesh,HDFC Ergo,50.67,0
20,Himachal Pradesh,IFFCO Tokio,16.83,0
21,Himachal Pradesh,SBI General,3.67,1.48
22,Jammu and Kashmir,IFFCO Tokio,24.84,2.58
23,Jammu and Kashmir,Reliance General,16.05,1.15
24,Karnataka,AIC,667.56,562.62
25,Karnataka,Bajaj Allianz,308.11,128.05
26,Karnataka,Future Generali,312.63,112.97
27,Karnataka,HDFC Ergo,9.78,0
28,Karnataka,ICICI Lombard,191.03,67.09
29,Karnataka,SBI General,765.97,2.43
30,Kerala,AIC,137.95,0.03
31,Madhya Pradesh,AIC,3130.87,0
32,Madhya Pradesh,Reliance General,672.95,0
33,Maharashtra,AIC,2413.74,1463.93
34,Maharashtra,Bajaj Allianz,555.47,319.39
35,Maharashtra,HDFC Ergo,704.62,141.41
36,Maharashtra,ICICI Lombard,685.77,359.26
37,Maharashtra,Reliance General,254.89,20.24
38,Maharashtra,United India,694.09,310
39,Manipur,Bajaj Allianz,1.86,1.24
40,Meghalaya,AIC,0.07,0
41,Odisha,AIC,520.77,0
42,Odisha,HDFC Ergo,408.79,2.47
43,Odisha,Reliance General,336.87,85.74
44,Puducherry,National,4.77,0
45,Rajasthan,AIC,1236.36,190.11
46,Rajasthan,Bajaj Allianz,733.28,135.11
47,Rajasthan,Future Generali,627.59,124.08
48,Rajasthan,HDFC Ergo,594.52,25.97
49,Rajasthan,Reliance General,813.56,246.93
50,Rajasthan,SBI General,1560.94,5.85
51,Sikkim,National,0.07,0
52,Tamil Nadu,AIC,751.52,50.63
53,Tamil Nadu,Bajaj Allianz,485.99,0
54,Tamil Nadu,HDFC Ergo,653.67,0
55,Tamil Nadu,IFFCO Tokio,758.48,0
56,Tamil Nadu,Reliance General,225.86,0
57,Tripura,HDFC Ergo,12.83,0
58,Uttar Pradesh,AIC,728.65,394.68
59,Uttar Pradesh,HDFC Ergo,322.53,54.59
60,Uttar Pradesh,IFFCO Tokio,112.48,46
61,Uttarakhand,AIC,33.57,28.09
62,Uttarakhand,SBI General,56.06,0
Total,Total,Total,27900.78,5760.8
